Country Name,,Access to electricity (% of population),Age dependency ratio (% of working-age population),"Agriculture, value added (% of GDP)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Exports of goods and services (% of GDP),Fixed broadband Internet subscribers (per 100 people),GDP per person employed (constant 1990 PPP $),"Government expenditure on education, total (% of GDP)",Imports of goods and services (% of GDP),Individuals using the Internet (% of population),"Industry, value added (% of GDP)","Labor force, total",Mobile cellular subscriptions (per 100 people),"Population, total",Research and development expenditure (% of GDP),Rural population (% of total population),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","Self-employed, total (% of total employment) (modeled ILO estimate)",Telephone lines (per 100 people),"Total employment, total (ages 15+)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Australia,2000,100,49.72620422,3.120484097,0.861999989,10193.91218,7.565999985,4.856999874,21.61499977,73.52700043,19.44348189,,75426.11719,4.888840199,21.60415459,46.75611561,24.64958486,9603084,44.90754851,19153000,1.57596,15.765,100.4125137,,20.0359993,52.71208392,9000011,3.410000086,7.510000229,6.28000021,84.235,12.46999979,79.96399689
Australia,2001,100,49.42595737,3.504851256,0.572000027,10636.37769,7.824999809,4.754000187,20.73999977,74.5059967,22.23518161,0.637308507,76006.52344,,22.14891184,52.68926643,23.69438934,9789976,57.77295033,19413000,,15.9,100.3457413,,20.26000023,52.20947542,9130132,3.25999999,6.909999847,6.739999771,84.1,12.43600035,79.73999786
Australia,2002,100,49.15838157,3.94963545,0.467999995,10813.12273,7.65199995,4.381999969,20.91500092,74.70300293,20.78313613,1.325275834,77501.28125,,20.79122692,,23.64144239,9947031,65.05712832,19651400,1.75453,15.778,101.2621613,,20.39900017,53.40127345,9313349,3.420000076,6.429999828,6.369999886,84.222,12.74700028,79.60099792
Australia,2003,100,48.92551224,2.889731561,0.430999994,10434.87439,7.489999771,3.913000107,20.88299942,75.20400238,19.10300414,2.623753539,78172.46875,,21.20985027,,24.07310261,10126911,72.83860687,19895400,,15.657,101.4007416,,19.9279995,53.10460918,9526327,3.339999914,6.75,5.929999828,84.343,12.43799996,80.0719986
Australia,2004,100,48.72209567,3.065047692,0.411000013,10554.81582,7.452000141,3.737999916,21.24099922,75.02200317,17.21976483,5.073081194,79912.25,,19.9365275,,23.91948524,10247103,82.61302181,20127400,1.85465,15.537,102.0159607,,19.71500015,51.98404346,9694754,3.119999886,6.510000229,5.389999866,84.463,12.26300025,80.28500366
Australia,2005,100,48.56992314,2.886518942,0.344000012,10458.45019,7.484000206,3.579999924,21.13400078,75.28600311,18.28530247,9.961014191,79649.05469,4.90778017,21.02931344,63,24.58376386,10556752,91.012838,20394800,,15.418,102.5364609,,19.70899963,50.00271013,10025798,2.99000001,5.380000114,5.03000021,84.582,12.22599998,80.29100037
Australia,2006,100,48.22309739,2.728681485,0.326999992,10490.48454,7.205999851,3.431999922,21.44300079,75.125,19.90812669,18.95632686,79820.3125,4.740550041,21.72580818,66,25.59828626,10801453,96.04538942,20697900,2.18208,15.3,103.1564713,,19.01499939,48.31433051,10285250,2.470000029,6.099999905,4.78000021,84.7,11.80999979,80.98500061
Australia,2007,100,47.95587437,2.204037248,0.286000013,10972.89174,6.824999809,3.345000029,21.36000061,75.29499817,20.23056827,,80256.96094,4.657259941,21.87698418,69.45,25.5913265,10969546,101.4958754,20827600,,15.178,105.1153717,,18.36100006,46.59453171,10489033,2.670000076,4.480000019,4.380000114,84.822,11.53499961,81.63899994
Australia,2008,100,47.8347414,2.341765208,0.250999987,10749.11055,6.880000114,3.306999922,21.62400055,75.06800079,20.18869866,24.90337,81063.90625,4.631869793,22.73909897,71.67,25.53130505,11259265,103.6429999,21249200,2.39823,15.057,105.1753387,,18.24300003,43.90302482,10782922,2.539999962,4.510000229,4.230000019,84.943,11.36300045,81.75700378
Australia,2009,100,47.87923092,2.295077016,0.256999999,10791.5931,6.806000233,3.233999968,21.14100075,75.625,23.03850745,24.01669991,82159.39063,5.089320183,22.82647568,74.25,26.92747846,11494997,102.1204248,21691700,,14.937,105.4492569,,18.29199982,49.26160493,10855772,3.309999943,6.039999962,5.559999943,85.063,11.48600009,81.70800018
Australia,2010,100,48.06817961,2.201174832,0.280999988,10726.92818,6.853000164,3.230000019,20.97699928,75.79299927,19.8425192,24.90951202,81937.64844,5.565899849,20.87386525,76,25.06375671,11692524,101.7176081,22031750,2.37808,14.818,105.8841095,,18.42200089,48.03331491,11083392,2.960000038,5.760000229,5.210000038,85.182,11.5690001,81.57800293
Australia,2011,100,48.63881193,2.280410601,0.232999995,10627.29387,6.531000137,2.819999933,20.83600044,76.34500122,21.47284119,24.69772973,82400.15625,5.096749783,20.50509857,79.48769771,26.34294971,11859905,105.8238999,22340024,2.24574,14.7,106.0767288,,17.84199905,47.03333869,11257438,3.430000067,5.860000134,5.079999924,85.3,11.31200047,82.15799713
Australia,2012,100,49.19472478,2.258752004,0.221000001,10403.61702,6.382999897,2.799999952,20.71899986,76.48100281,21.51897381,25.12942751,84570.99219,4.894189835,21.76810529,79,26.18873597,12026236,106.6434188,22742475,,14.598,106.4743195,,17.22500038,45.88147087,11398465,3.410000086,5.820000172,5.21999979,85.402,10.84099989,82.77500153
Australia,2013,100,49.77093606,2.282509346,0.231999993,10213.03945,6.336999893,2.615999937,20.48900032,76.89499664,19.98771744,25.83503958,86148.78906,5.259789944,21.28586162,83.45349717,25.0373236,12205765,107.728789,23145901,2.20207,14.498,106.5601883,,16.88800049,44.70701549,11514815,3.25999999,6.820000172,5.659999847,85.502,10.55100024,83.11199951
Australia,2014,100,50.39963747,2.220048428,0.248999998,10059.20745,6.320000172,2.802000046,20.3409996,76.85700226,21.07576502,27.84277929,87834.65625,5.192669868,21.50408328,84,25.41766514,12355521,106.7533735,23504138,,14.398,106.0700378,,17.19300079,39.14858349,11605597,,,6.070000172,85.602,10.87299959,82.80699921
Brazil,2000,94.46656799,54.28643119,4.750459976,4.137000084,1891.970822,2.976999998,21.3029995,20.2329998,58.4640007,10.188048,0.057049105,27760.5957,3.948920012,12.45171335,2.870685159,23.00661863,79594358,13.22864408,175287587,1.00084,18.808,,,31.19799995,17.64316146,68512633,,,9.795000076,81.192,28.22199917,68.80200195
Brazil,2001,96.016528,53.44638593,4.801043016,7.356999874,1742.485696,4.260000229,20.58600044,19.9659996,59.44800186,12.37171067,0.186215894,27299.2793,3.844680071,14.56457435,4.528494869,22.63952791,81661448,16.17196098,177750670,1.02879,18.447,150.785553,,37.99300003,21.05802414,74025436,4.681499958,12.63119984,9.350000381,81.553,33.73400068,62.00699997
Brazil,2002,96.652996,52.57155377,5.475274893,7.320000172,1800.517134,4.278999805,20.66699982,21.4109993,57.92300034,14.23059027,0.405770667,27141.04297,3.750370026,13.38776713,9.149425086,22.49532782,84421018,19.36206845,180151021,0.97667,18.12,146.8277893,109.9942169,38.05199814,21.54341662,76730690,3.832299948,13.19229984,9.109999657,81.88,33.77299929,61.94800186
Brazil,2003,96.980098,51.69749644,6.167184386,7.038000107,1875.323158,4.230000019,20.71899986,20.93700027,58.3429985,15.18078371,0.529504944,27053.51172,,12.95960101,13.2075861,23.08381782,86249044,25.41249446,182482149,0.9982,17.797,140.5444946,101.8686676,37.99000168,21.48429324,77856873,4.858099937,13.79160023,9.729999542,82.203,33.76000023,62.00999832
Brazil,2004,96.765107,50.85326755,5.665311576,6.925000191,1948.408598,4.147999763,21.0189991,21.04700089,57.93399811,16.54576151,1.70915468,27493.18945,3.974489927,13.13249097,19.07367227,24.30662329,88930591,35.51236744,184738458,0.96233,17.479,133.6963043,102.3710327,37.20600128,21.42429001,81024908,4.174900055,13.22259998,8.890000343,82.521,33.05799961,62.79399872
Brazil,2005,97.093513,50.04422763,4.651168844,7.130000114,2007.27743,4.440000057,20.49799919,21.44499969,58.05699921,15.24382948,1.730069365,27883.58594,4.4790802,11.8429658,21.02274725,24.1725784,90912552,46.12216626,186917361,1.00273,17.166,133.2621613,101.2919922,34.22999954,21.32097296,82448789,4.539899826,13.95960045,9.31000042,82.834,29.79099941,65.76999664
Brazil,2006,97.594314,49.18873141,4.370043895,6.354000092,2063.097317,4.678999901,19.37599945,21.40600014,59.21900177,14.37431607,2.522060297,28080.92578,4.870600224,11.6673833,28.17838018,23.54402184,92908412,52.86352359,189012412,0.98784,16.857,,,33.25799942,20.52785824,85113078,4.645400047,12.75619984,8.390000343,83.143,28.57900047,66.74199677
Brazil,2007,98.125382,48.40705225,4.416915316,6.127999783,2157.437342,3.941999912,18.30400085,22.02899933,59.66699982,13.32767528,3.983450748,29358.23438,4.974259853,11.96493642,30.88,23.12538075,93952059,63.3315358,191026637,1.08149,16.552,128.1797943,95.16999817,32.22299957,20.62519794,86350738,4.437600136,13.07970047,8.090000153,83.448,28.28000021,67.77700043
Brazil,2008,98.526625,47.67557868,4.567851257,5.208000183,2218.883587,4.704999924,17.46299934,22.67000008,59.86700058,13.53400059,5.190674889,30142.35156,5.268839836,13.72356887,33.83,23.08529373,95687739,78.06102237,192979029,1.12896,16.251,132.0552063,96.72012329,31.09499931,21.36773473,86635021,4.677199841,11.46930027,7.626999855,83.749,26.39100075,68.90499878
Brazil,2009,98.856938,46.96540554,4.476774029,4.837999821,2185.745263,4.513000011,16.99099922,22.15699959,60.85200119,10.85137114,6.018592091,29785.73633,5.463550091,11.2546046,39.22,21.87859258,97400070,86.91075624,194895996,1.11968,15.956,131.1651611,96.66548157,30.74799919,21.29186789,89334642,4.6104002,12.9598999,8.279999733,84.044,26.23499918,69.2519989
